RA,Nome,Ano,Idade,Genero,Ano_ingresso,Anos_na_PM,Instituicao_ensino,Fase_raw,Fase_num,Turma,Pedra,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,Nota_Mat,Nota_Por,Nota_Ing,Fase_ideal_raw,Fase_ideal_num,Defasagem,Categoria_Defasagem,Indicado_bolsa,Atingiu_PV,Rec_Psicologia
RA-1477,Aluno-1477,2024,11,Masculino,2024,0.0,Pública,2K,2,2K,Ametista,7.0514989130000005,10.0,5.0,8.010869565,8.002,7.51,6.40625,6.2875,5.0,5.0,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-1478,Aluno-1478,2024,11,Masculino,2024,0.0,Pública,2K,2,2K,Ágata,6.7210333334,10.0,4.25,6.666666667,8.002,6.255,6.875,7.1225,4.0,4.5,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-1479,Aluno-1479,2024,12,Masculino,2024,0.0,Pública,2K,2,2K,Ágata,6.615766239300001,10.0,4.25,6.1965811965,8.502,7.51,7.1875,6.0325,4.0,4.5,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-148,Aluno-148,2022,14,Masculino,2022,0.0,Escola Pública,4,4,H,Ametista,7.894,10.0,5.3,7.9,9.2,10.0,,7.708,4.7,6.3,5.0,Fase 4 (9º ano),4.0,0,Em fase,True,False,Sem limitações
RA-1480,Aluno-1480,2024,12,Masculino,2024,0.0,Pública,2K,2,2K,Ametista,7.09445,5.0,5.5,8.875,8.502,7.51,7.1875,6.9975,,5.5,,Fase 3 (7° e 8° ano),3.0,-1,Moderada,,,
RA-1481,Aluno-1481,2024,12,Feminino,2024,0.0,Pública,2K,2,2K,Ágata,6.860721739100001,5.0,4.75,8.782608695499999,8.502,7.51,6.875,6.8275,4.0,5.5,,Fase 3 (7° e 8° ano),3.0,-1,Moderada,,,
RA-1482,Aluno-1482,2024,14,Masculino,2024,0.0,Pública,2K,2,2K,Quartzo,5.2257,5.0,0.0,5.0,8.502,7.51,7.5,6.8725,0.0,0.0,,Fase 3 (7° e 8° ano),3.0,-1,Moderada,,,
RA-1483,Aluno-1483,2024,11,Masculino,2024,0.0,Pública,2K,2,2K,Ametista,7.311433695700001,10.0,6.5,7.913043478500001,9.502,7.51,5.78125,5.7475,6.0,7.0,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-1484,Aluno-1484,2024,14,Feminino,2024,0.0,Pública,2L,2,2L,Ametista,7.754200000000001,5.0,7.0,10.0,9.002,6.26,7.5,7.89,5.0,9.0,,Fase 3 (7° e 8° ano),3.0,-1,Moderada,,,
RA-1485,Aluno-1485,2024,13,Masculino,2024,0.0,Pública,2L,2,2L,Ágata,6.7386875776999995,5.0,5.0,7.7432712215,9.002,5.625,7.5,7.386666667,5.0,5.0,,Fase 3 (7° e 8° ano),3.0,-1,Moderada,,,
RA-1486,Aluno-1486,2024,11,Masculino,2024,0.0,Pública,2L,2,2L,Ágata,6.865474509900001,10.0,5.75,5.431372549,8.002,6.26,7.916666667,7.056666667,6.0,5.5,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-1487,Aluno-1487,2024,13,Feminino,2024,0.0,Pública,2L,2,2L,Topázio,8.0267434782,5.0,8.25,9.5652173915,10.002,6.26,7.708333333,7.833333333,7.0,9.5,,Fase 3 (7° e 8° ano),3.0,-1,Moderada,,,
RA-1488,Aluno-1488,2024,11,Feminino,2024,0.0,Pública,2L,2,2L,Ágata,6.7668935818000016,10.0,3.5,7.111801242,8.002,7.51,7.5,6.716666667,7.0,0.0,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-1489,Aluno-1489,2024,12,Masculino,2024,0.0,Pública,2L,2,2L,Quartzo,5.9842289855000015,5.0,5.0,5.793478261000001,9.002,6.26,6.666666667,5.663333333,5.0,5.0,,Fase 3 (7° e 8° ano),3.0,-1,Moderada,,,
RA-149,Aluno-149,2022,15,Feminino,2022,0.0,Escola Pública,4,4,H,Ágata,6.323,5.0,5.0,6.5,9.2,7.5,,6.125,4.0,6.0,,Fase 5 (1º EM),5.0,-1,Moderada,False,False,Não atendido
RA-149,Aluno-149,2023,16,Feminino,2022,1.0,Pública,FASE 4,4,4C,Quartzo,5.622266667,5.0,4.7,4.2,8.8,2.52,7.5,7.2925,5.7,3.5,5.0,Fase 6 (2° EM),6.0,-2,Moderada,,,
RA-149,Aluno-149,2024,17,Feminino,2022,2.0,Pública,5D,5,5D,Quartzo,5.7316173854,5.0,3.8333333333333335,4.104378593666667,9.585,6.26,7.34375,6.626,0.0,6.5,5.0,Fase 7 (3° EM),7.0,-2,Moderada,,,
RA-1490,Aluno-1490,2024,12,Feminino,2024,0.0,Privada,2L,2,2L,Ametista,7.3725768116,5.0,7.75,9.5652173915,8.502,6.26,6.666666667,6.333333333,8.0,7.5,,Fase 3 (7° e 8° ano),3.0,-1,Moderada,,,
